event,lat,lon,state,event_time,start_time,accum_time,period_start,period_end,exceedance,accumulation,exceed_pts,exceed_vol,exceed_length,max_1hr,max_pflength,pflength_duration,ari_10,ari_25,ari_50,ari_100,ari_500,ari_1000,tc_flag,iso_flag,mcs_flag,noct_flag,qc_flag
28,33.8281499466082,-103.11153968606254,NM,2002033009,2002033007,2002033019,2002032922,2002033023,63.233265130998845,148.0099983215332,234,4444.061065268792,11.242472856156056,33.25,1773.42343,12,84.77673319053436,103.63199999999998,118.42453679312764,134.20939684232945,176.37339684232944,196.85,0,0,1,1,1
29,34.98339605094768,-78.59299923790678,NC,2002033119,2002033119,2002040107,2002033111,2002040110,63.60031941976625,185.5200003385544,199,2755.579001376153,11.382716571993296,39.25,1795.219227,10,121.91968091878812,149.60397935328487,173.4401891827373,199.6015510203136,271.187421121839,307.97561030457626,0,0,1,1,1
30,32.3430638154373,-83.16102673818187,GA,2002033120,2002033119,2002040103,2002033112,2002040108,25.47599999046325,138.75999999046326,17,143.82736352544822,11.100534907570868,70.5,1795.219227,8,113.284,135.128,152.97588186769218,171.77188186769214,219.7489138691316,241.84691386913155,0,0,1,0,1
31,41.85542429326307,-83.59138012429798,MI,2002040217,2002040215,2002040300,2002040208,2002040304,6.992000443458565,81.16000044345856,16,52.09971449552492,12.065204854636088,46.75,1166.415204,8,74.16799999999999,90.67799999999998,104.902,120.142,161.124464346602,180.936464346602,0,0,1,0,1
32,29.638899757937107,-81.70376160548125,FL,2002040222,2002040221,2002040300,2002040210,2002040310,105.53799999523162,238.37999999523163,6,291.29385649569883,10.806982958770217,95.75,153.9572375,0,132.842,163.16150010612185,190.1319230283662,220.1801521457485,303.2554231344881,344.36557528023667,0,1,0,0,1
33,30.36692455775948,-85.0080778700019,FL,2002040321,2002040317,2002040401,2002040303,2002040413,31.56591513041647,187.26000022888184,24,281.0892210526709,8.610875517381988,106.25,219.0513935,1,155.69408509846537,192.2700850984654,223.7581701969308,257.5401701969307,348.21819163517085,391.89059565250267,0,0,0,0,1
34,35.66621739775878,-77.01435671618628,NC,2002040401,2002040315,2002040402,2002040314,2002040403,1.5682255700507568,124.0,1,1.5682255700507568,0.0,69.12999725341797,583.8929436,4,122.43177442994924,150.62577442994922,178.13472702902158,206.8367270290216,284.3105014589708,328.5065014589708,0,0,1,1,1
35,28.83096415068077,-81.6339051242806,FL,2002040422,2002040421,2002040423,2002040411,2002040509,15.33999916076658,144.8799991607666,2,20.92999641418453,3.7890634372693817,113.75,174.8220174,0,129.54000000000002,157.41259780376387,181.5305739700525,207.7093706387573,278.26599227623257,312.48859007999647,0,1,0,0,1
36,36.19920436144604,-93.79996778219912,AR,2002040718,2002040716,2002040804,2002040714,2002040810,25.01184589336347,135.77999877929688,75,684.9958577168518,11.49804641438424,18.75,1513.04291,7,110.7681528859334,131.06281648698533,147.85084500653304,165.6321528859334,212.36684500653303,234.4406921205997,0,0,1,0,1
37,29.07214306711932,-98.3531491223572,TX,2002040803,2002040801,2002040811,2002040717,2002040815,71.9339991607666,211.3799991607666,155,2638.72628503309,10.730598226129288,63.75,1648.501399,10,139.446,177.20497415811417,208.788,244.26097415811407,345.3202229734673,396.1373324665926,0,0,1,1,1
