event,lat,lon,event_time,start_time,end_time,exceedance,accumulation,exceed_pts,exceed_vol,exceed_length,max_1hr,max_pflength,pflength_duration,ari_10,ari_25,ari_50,ari_100,ari_500,ari_1000,tc_flag,iso_flag,mcs_flag,noct_flag
33,36.19920436144604,-93.79996778219912,2002040718,2002040716,2002040804,25.01184353188313,135.77999877929688,58.0,404.24458501144056,37.494807385230885,18.75,1513.0429098556278,7,110.76815524741374,131.06281185855164,147.8508339232959,165.63215293501975,212.3668388784355,234.4406782944676,0,0,1,0
34,29.07214306711932,-98.3531491223572,2002040803,2002040801,2002040812,71.93400001525879,211.3799991607666,155.0,2638.496886528466,78.31631640845934,63.75,1648.5013993654784,11,139.4459991455078,177.20496709844446,208.7880096435547,244.26096685430383,345.32020638942095,396.1373235891087,0,0,1,1
35,29.238690016223654,-81.7302578553863,2002041121,2002041121,2002041123,16.68174118321201,150.38000106811523,2.0,23.909738009383886,0.0,87.75,81.3549864897839,0,133.69825988490322,163.9242578097079,190.34025817591888,219.55024963099697,298.7645932107995,337.4062467756577,0,1,0,0
36,31.308398537026456,-84.47401376801696,2002041122,2002041119,2002041204,5.642321004506613,133.87999999523163,3.0,12.905288287371777,3.885969687991484,67.87999725341797,209.9690820892869,1,128.23767899072502,154.43174280253913,176.02173915537475,198.84942972783443,256.75934456328696,283.6528694654345,0,0,0,0
37,39.87580426481655,-84.9054015630582,2002041218,2002041217,2002041303,5.052005767822251,89.38000106811523,2.0,5.108008384704576,5.937322795828015,22.3799991607666,1046.642207750531,4,84.32799530029298,98.04399871826172,108.7119903564453,119.37998962402344,144.5260009765625,155.447998046875,0,0,1,0
38,32.278115927322524,-85.0646808952635,2002041223,2002041217,2002041304,7.379073522080702,134.03000247478485,2.0,7.399459029404213,3.922654835124943,59.130001068115234,361.6402293633451,5,126.65092895270416,153.32092904002545,175.0926804033723,197.92985817583505,255.53094106020583,282.12871033967406,0,0,1,0
39,38.21138194465094,-87.12056201755746,2002041223,2002041221,2002041307,17.826003074645996,117.13999843597412,9.0,72.89103200729284,24.11016746776323,26.6299991607666,1010.6631460771712,6,99.31399536132812,118.99022860789631,135.12799072265625,152.01022932902245,195.95223067179592,216.89845648337075,0,0,1,1
40,35.67259014336829,-103.30468851331348,2002041306,2002041304,2002041310,17.617463160248988,96.50999927520752,29.0,213.23560163534552,24.64570405698284,39.75,433.4723497650556,5,78.89253611495853,96.16453928878666,110.09337852293362,124.82538412689983,162.0619177281488,179.46751794767684,0,0,1,1
41,31.713022035895232,-103.4810921633412,2002041400,2002041400,2002041402,13.49499099584952,90.5999984741211,5.0,28.88722017845681,12.343569659196564,65.12999725341797,273.2688443333642,1,77.10500747827157,96.40900833276376,111.79863682403835,127.90500290063486,170.83100636490437,191.07000170293105,0,0,0,0
42,31.10458254065308,-99.7507536817198,2002041403,2002041321,2002041407,1.4460067749023438,116.0,1.0,1.4460067749023438,0.0,42.25,439.787671601463,2,114.55399322509766,141.73199462890625,163.80726371599098,187.7059936523437,252.8572714219937,284.4697619604584,0,0,0,1
